,airline_sentiment,text
2479,negative,@JetBlue PR-friendly tweets don't help drive accountability. Hope Mr. Hayes takes note.
3307,negative,"@united There is no ""reference number."" Your agent told me to ""just drive to the airport"" because ""I can't reach anyone there to deliver..."""
2663,negative,@united you are the worst airline in the world! From your crap website to your worthless app to your Late Flight flight. You SUCK! Just shut down.
5970,neutral,@VirginAmerica What @dhepburn said.
5454,neutral,@SouthwestAir @Imaginedragons when are we gonna know I have a math test tomoro and I can't concentrate😭😭 #DestinationDragons
911,positive,@SouthwestAir Thx to customer service rep ALEX for his patient help in reFlight Booking Problems a Cancelled Flighted flight and getting us where we have to be tmrw!
4126,negative,@SouthwestAir i sure hope you are able to get my bag to Memphis for tomorrow.would be nice to have some clean clothes for work.
3988,negative,@united that's not even an apology
5141,neutral,@SouthwestAir Thank you.
1844,positive,.@AmericanAir @TyWinter it's really the small things--the details--that make an excellent experience or a really irritating one.
2018,positive,"@united thanks, just sent :)"
252,positive,@SouthwestAir thanks for your excellent response time and assistance! All set :)
3743,negative,"@JetBlue no they offered the flight (4/19), I paid, then they changed it.This is the 2nd  time you have done this to me. ruins cruise plans"
3153,negative,"@AmericanAir Cancelled Flights my flight, doesn't send an email, text or call. Now I'm stranded in Louisville."
2193,positive,@SouthwestAir Thank you for the prompt response. I will email Late Flightr today.
2571,negative,@USAirways 1 1/2 hours on hold to customer service without anyone answering is more than ridiculous!
4437,negative,@AmericanAir sitting in a 2 hour long at least phone queue. Hoping I get things rebooked in time or at least some plastic wings. #tears
1032,positive,@VirginAmerica sounds like fun !
6589,neutral,@SouthwestAir I got a phishing email claiming to be from Southwest. I can forward to you if you'd like to investigate.
505,positive,".@JetBlue Wish you would make Austin, TX a hub. Missing you as my “only” airline for all my biz travel since I moved from BOS. :("
6577,neutral,@JetBlue window exits give it away.
1950,positive,@JetBlue is gettin fancy! #Mint #LieFlat Nice work on the menu @Saxonandparole #LobsterMac #BloodyMary #JetSetter http://t.co/zf5wjgtXzT
4193,negative,@AmericanAir BRING MY FIANCÉ @meerikangas BACK TO ME!
2584,negative,@usairways would it kill you to let me put my tsaprecheck number on my reservation?
2275,positive,@SouthwestAir thanks for the ride to Chicago. #kmdw #b738 http://t.co/6cpYPGFnD6
1739,positive,@JetBlue Thank you. Fingers crossed.
6752,neutral,@VirginAmerica @ladygaga @carrieunderwood All were entertaining
6650,neutral,@SouthwestAir yeah it happens. The PHX airport has extra long waits all spring long. Something locals know but tourist don't just FYI
1238,positive,@JetBlue thank you
4174,negative,@AmericanAir wow @AmericanAir still screw n stuff up
6615,neutral,"@united uhuh.Group trying to get out of Nashville and into IAD today instead of tomorrow,why be preemptive though... https://t.co/yBv0xaowKv"
4001,negative,"@AmericanAir ""sorry you were disappointed"" #outoftouchwithreality #people have kids and jobs"
4614,negative,@USAirways Unfortunately I doubt that the consistently subpar service will improve with the @AmericanAir merger. #USAirways
5366,neutral,@SouthwestAir done
55,positive,@JetBlue wow you guys answer people wow you care I love jet blue
5696,neutral,@VirginAmerica I need a receipt for a flight change. Can you send one?
6349,neutral,@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?
6831,neutral,@AmericanAir Both pictures taken at the same time but which is right? #totallyconfused http://t.co/dvSLtQZKmQ
655,positive,@VirginAmerica Flying LAX to SFO and after looking at the awesome movie lineup I actually wish I was on a long haul.
2865,negative,@AmericanAir you ever wonder why you find yourselves responding to so many customer complaints on twitter? It's because your airline sucks.
1746,positive,"@united we had a wonderful flight attendant named Leah that was with us from lga to den, then den to anchorage!"
2715,negative,"@USAirways any guesstimate on hold times? Can't change my flight online, at 45 mins and counting..."
2135,positive,@JetBlue Thanks for taking me back home today despite Pandora's best efforts to Cancelled Flight the flight. #jetblue #backhome #noplacelikehome
6727,neutral,@USAirways Y'all need to get it together
7084,neutral,"@JetBlue Tell me more 😳...

Because I need a 1 way to NYC, and I might choose you"
635,positive,@USAirways - done :)
3389,negative,@USAirways I would appreciate a call regarding a HORRIBLE experience I had with a gate agent. Was on hold for 39 min and then hung on me.
2534,negative,"@USAirways flights &amp; ""customer relations"" are extremely disappointing. Faced too many problems to type. apology=$25 towards a flight. A JOKE"
561,positive,Is expiring the @united offer to buy or transfer #United #MileagePlus miles with discount? Many offers during a year http://t.co/6tz6imqZlG
507,positive,@JetBlue thanks so much for your condolences and quick response. It is very much appreciated
994,positive,"@AmericanAir Thanks for asking On second plane after maintenance issue, for flight from ORD to LIT. Sitting at gate in very very warm plane"
421,positive,@JetBlue haha. TY. Do you know what time that lane opens at Logan?
1737,positive,@USAirways 1917. Thanks for the 5 hour layover in LA too👍 Icing on the cake. At least your staff was courteous and helpful.. Not #unreal
3176,negative,@united last week we also had maintenance issues and a flat tire. Another flight last week was Cancelled Flighted. Your track record is the WORST!
3337,negative,@JetBlue Disappointed we weren't allowed to bring on an aircraft approved carseat on an empty plane. Not cool.
2007,positive,"@JetBlue no, they're too busy being awesome and trying to get us out ASAP. I'll deal."
5856,neutral,Really ? 😑“@JetBlue: Our fleet's on fleek. http://t.co/V5QWkYXSW6”
3546,negative,@AmericanAir She got to the gate just in time to watch the plane push back. 5 minutes was all she needed. Glad we’ve relatives nearby.
6904,neutral,"@AmericanAir I need to get from Albuquerque, NM, USA, to Cebu, Philippines. I'm providing educational help for 800 kids. Can you help me?"
5073,neutral,@SouthwestAir will the Daytona 500 be available on free TV?
2758,negative,@USAirways cardholder is flying.  We both have us airways and advantage cards which is more frustrating.
4063,negative,@USAirways at which point in told they have sold my voucher because I wasn't fast enough
4394,negative,"@AmericanAir seems like queue times are very high, in Q waiting for an agent 4 almost  an hour.Flight got Cancelled Flightled. http://t.co/sDm2wvR3zr"
4382,negative,@united 20 yrs of flying Continental/united exclusively I get why everyone hates you - fl1289sfo/EWR #getmeoffrhisFUCKINplane
6543,neutral,@JetBlue Thank you ! What about Paris ? Could we arrange something from there ?
3616,negative,@USAirways seriously???  did you not see that I've spent 2 days - for multiple hours on hold just to have to hang up after the hours?
3761,negative,@USAirways I do but the real ? Is why your staff can behave offensively. Flight 699. Please look into it. Message me if you want particulars
2210,positive,@SouthwestAir.   50th Anniversary on April 10th. Still. Sweethearts.  Companions.  Lifetime.  Sons.  Families. Love.
1937,positive,@SouthwestAir I did. Thank you.
3552,negative,@AmericanAir all of these issues are not based on weather or things that are out of your control. These  issues are based on negligence.
6526,neutral,@united I'll be calling tomorrow
6140,neutral,"@SouthwestAir Hi! Winter Wx Advisory issued for STL. Snow &amp; Ice &amp; Cold, oh my! Will you issue a travel advisory for that?"
3226,negative,. @SouthwestAir condescension must be a quality your co rewards. Your tone reeks of it
171,positive,@USAirways Nick on flight 742 was awesome. Please reward him in some way!!! He has kept us smiling on a bad day of travel. #customerservice
1150,positive,@SouthwestAir /I really love your customer service Lou Ann in Phx rocks. Thanks SW. #be Ourguest
1871,positive,@VirginAmerica Only way to fly! #Elevate #Gold
3853,negative,"@united incompetent/rude service today. Missed my connecting flight, then the customer service desk was terrible to me. Really upset w untd."
1151,positive,@JetBlue thanks
500,positive,@USAirways  thank you! Glad to be heading home! Great people at your call center!
3197,negative,@united two service agents hung up on me the third was able to get me a flight on US air today. Three calls and 2.5 hours to get a flight
4200,negative,@SouthwestAir 😅 you won't let me change my reservation online so now I'm just wasting my time. http://t.co/mHA3xXaeD5
5720,neutral,@SouthwestAir it's never too Late Flight to do the right thing
110,positive,@JetBlue I will. Thank you!
14,positive,@SouthwestAir  I USED to always fly Southwest.
633,positive,@AmericanAir 🙏 in my hotel now. Thank you!
4384,negative,@AmericanAir My sister just received a call that her trip Wednesday (flts 2348/3499) was Cancelled Flightled and resched to next day. Why?
4578,negative,@AmericanAir i was spoken 2 like I'm an idiot and that is not OK!! I don't need to deal w/ that esp after the travel experience I've had
901,positive,@JetBlue thank you for help and quick response
5644,neutral,@United lounge @ #Heathrow Used by @AirNZUSA http://t.co/6hJucP694l
1838,positive,@JetBlue ok thank you for the quick response JetBlue still the best comp
3533,negative,"@AmericanAir I have been trying to speak with an agent the whole day about my Cancelled Flightled flight, what I can do?"
3757,negative,@AmericanAir narrowly made standby...lots of snags this trip!
6997,neutral,@SouthwestAir #DestinationDragons Any word on winners of contest? Any chance for tix for the Provo DestinationDragons show? Fingers Crossed!
1483,positive,@JetBlue thanks for the info... Figured that was the case. Hopefully my new hashtag will change that ;) #ABCLetJetBlueStreamFeed
3906,negative,@JetBlue shut up an turn on the tvs/music
3495,negative,"@JetBlue took forever for catering to get to my flight, now are very delayed. So ticked off right now."
6070,neutral,@AmericanAir could you guys follow me so I can dm yall please
2011,positive,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊
1742,positive,@SouthwestAir I'll have to drop by next time I visit!
6810,neutral,@united gives Belfast a #Hug with the new unmissable #BusHug format #impact #busads #thinkbus @BelfastAirport http://t.co/AvbdstJUJS
1534,positive,"@SouthwestAir your social media team just said ""sorry"". Thankfully submitting a complaint got resolution from an amazing rep who called."
6601,neutral,@united - Group 2 line gets longer every week. Almost no one left for Groups 3-5 anymore. Time to make Explorer Card Group 3?
6021,neutral,“@JetBlue: Our fleet's on fleek. http://t.co/Hez4jk4ZsK” ~huh?
3571,negative,"@united Friend stuck in bus on runway at PEK with two small kids no customer service, no explanation, kids crying, awful service."
1013,positive,@southwestair your attendants at the ATL airport are awesome! Very helpful with all the Cancelled Flightlations this morning.
2078,positive,"“@JetBlue: @jannasaurusrex Thanks for the kind words, Janna! #WeAppreciateYou #TrueBlue” and now I'M feeling like a boss #jetbluefame"
367,positive,@SouthwestAir oh I see what you did there! Thanks for supporting #PadresST.
5920,neutral,@JetBlue when will you release flights for February 2016?
4276,negative,@VirginAmerica luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn't any help.
5877,neutral,@SouthwestAir  I got rebooked for tomorrow
5661,neutral,@JetBlue okayyyy. But I had huge irons on way out. Promise no shenanigans?
3852,negative,@united Thanks...seat made for a 6 year old and a broken TV. 20 flights/year...my last on your airline.
2334,positive,"@united Nicole at Quito airport took great care of us this week. Handled lost baggage, seat changes. Very professional/nice. Pat her back."
2344,positive,@SouthwestAir I love my Companion Pass (qualified 4th year).  #HollyMais
2343,positive,@JetBlue thanks to you customers like me stay loyal. From check in to landing.
4882,neutral,"@jetblue captain ""takes as lot of muscles to frown but JUST A FEW TO SMILE. Y'all ready to go flyin?"" I mean... Now I am!"
2216,positive,@VirginAmerica good to be home #texas #moodlighting http://t.co/N3BVZTY3zI
464,positive,"@USAirways @AmericanAir @SVLLINDIA provides you the best logistics experience for people all over India.
#Mumbai #Surat #NaviMumbai"
1202,positive,@SouthwestAir thanks! Very excited to see it :D
4663,negative,"@AmericanAir @ezemanalyst why don't you tweet canned, impersonal responses as though this is the only impatient customer you've got"
568,positive,@USAirways @AmericanAir Can you bring guinea pigs in small pet carrier onboard your flights?
4447,negative,@AmericanAir finally about to take off! Thanks for the customer service by the g8 reps @ c17 @ CTL. Any idea what caused the system failure?
1955,positive,@SouthwestAir Thank you for the vouchers after the long wait on the runway Saturday night at BWI! I really appreciate it! #SWfan
1695,positive,@SouthwestAir tv stream means I get to spend my flight watching 1999 and 2011 Women's World Cup Finals. #throwback #bestflightever
6449,neutral,"@united so going forward, I shouldn't be Flight Booking Problems Star Alliance flights through the United App?"
5108,neutral,@AmericanAir I did
6609,neutral,@USAirways so what is the  difference between Cancelled Flighting and reFlight Booking Problems - will that help me avoid a change fee?
6716,neutral,@united make sure you take care of @LSUsoftball team &amp; @LSUQuinlanDuhon team. We are 16-0!!!!
2323,positive,@USAirways thanks for slowing the inbound plane down so that we didn't need to worry about 4438 EYW being Late Flight. Great holz ahead. Cheers! 😀
1476,positive,@SouthwestAir thanks connection thru Nashville have A1 boarding pass get to Dallas gate boarding 40 min before flt get end of B group
545,positive,@SouthwestAir Sent. Thanks VP!
1105,positive,@SouthwestAir Great trip on 2672 yesterday - outstanding flight attendants
5171,neutral,@united Airlines is changing #mileageplus program March 1 http://t.co/4ojE523PTw
6354,neutral,"@USAirways is there nothing that can be done online to help? i bought these as a birthday present, just trying to be able to afford a change"
4312,negative,@AmericanAir thanks for the canned reply.
2507,negative,@united an over booked flight to start with and a red eye from lax to bos with no reclining seat.... #lastflightwithyouever
256,positive,"@USAirways Painless and effortless flight from Indy to PHL... Our flight attendant, Tory, was fantastic. Give that lady a raise ASAP!"
1770,positive,"@AmericanAir sure, thank you!"
6120,neutral,"@USAirways announced that people going to FL via Charlotte would have to go to a different plane &amp; gate, but it was a 'direct flight' #logic"
1180,positive,@united Anna Palm Springs gate 19  deserves a medal! Handled 30 ppl missing flights like a pro!
5903,neutral,@SouthwestAir  I am following you now.
3378,negative,"@USAirways my brother @BRizzyberg27 missed his flight traveling home for a funeral and can't get through to the call center, can you help?"
190,positive,@AmericanAir Joanne from your San Diego staff was phenomenal! Give that girl a raise. She handled our #flightnightmare better than anyone.
2258,positive,"@SouthwestAir never mind, I moved my flight to tomorrow. Thanks for the help!"
4349,negative,@USAirways what's up with flight 5545 no gate agent or plane at PHX B18?  Nice customer service.
2710,negative,@united recent services have been very bad. My NC trip was aweful. Very disappointed and never again.
2913,negative,@united why the hell do my miles expire? Was really looking forward to accruing enough for a free flight in 10 years.
5457,neutral,@AmericanAir I was going to change it to tomorrow because I am concerned if the fllight does make I won't be able to leave the airport   1/2
2697,negative,"@USAirways please explain, I have plenty of time since I'm STRANDED!!"
3886,negative,@JetBlue letting me down in San Fran. No Media rate? What's the deal? Looks like this is the last time I fly anywhere with you.
3225,negative,@AmericanAir TSA. When I tried to check in the things I've bought your people told me it was Late Flight to do it. So... I want my things back
3332,negative,@United gate announcement states delay due to maintenance yet app says Late Flight arriving aircraft  tell the truth! @unfriendly
4137,negative,"@united I'm checked in, agent wouldn't tag my bags at 7am. Now I'm standing in line hell."
5977,neutral,@JetBlue Has DC Thinking About Summer With New Nantucket Service - @MarketWatch http://t.co/yI4wGUk5tr
5897,neutral,@united whats UA 1205 lax - newark ??
2626,negative,@united trying to book flight w/miles. Was on hold for 50m before I gave up. Need to get 6 on same flight using two diff # and pay 4 1tix
4236,negative,.@USAirways I rebooked myself - but Cancelled Flighting flight because crew expired after boarding is unacceptable. You started delaying at 1:30pm.
4128,negative,@USAirways over 15min hold on your reservation line. embarrassing. AA Platinum member.
5862,neutral,@united Pls Help Baby Hannah get the life saving surgeries she requires.She needs your help.Pls Donate/RT http://t.co/kQnrrP86A5
5362,neutral,"@JetBlue When chging flight, isit possible to pay the fare difference in dollars when the ticket was bought completely via point redemption?"
1564,positive,@united thanks. Just a program comment; the system assigned seats behind each other even though pairs were available. I changed it back.
4370,negative,@AmericanAir Hey so I'm very disappointed with my time traveling with you! I've had the worst experience and both times the flight delayed!
2509,negative,@USAirways No speciifc email. 1500 character limit for complaints. Is AA/US customer complaints adopting the twitter model?
2150,positive,"@JetBlue Annnndddd, I just booked my flight. That was easy."
4725,negative,@united Thanks for the lack of help and the canned response from the 1K desk!
3141,negative,@united 50 min on hold trying to book award flight because site errors out.  Agents ask for my pin to see platinum availability??? badbadbad
703,positive,Lovely! RT @JetBlue: Our fleet’s on fleek. http://t.co/Hi6Fl1AX9E
1469,positive,@united @annricord Great! Appreciate it😊
2911,negative,@AmericanAir since you don't care about what happens to your passengers on your planes we will now be contacting the Police Dept
6978,neutral,"@united bet you wont honour them, like mine ey"
2113,positive,@SouthwestAir DM sent.  Thank you.
5909,neutral,@SouthwestAir Thanks!!! :)  It is good to air on the side of caution
1786,positive,@JetBlue I did see that! Working on picking up a trip or two as we type.
5820,neutral,"@SouthwestAir That was Chantilly, Paris, France."
1842,positive,“@united: @BattierCCIpuppy We hope to see you on board soon and thanks for the tweet. ^EY” 👏👏
6432,neutral,@united UA1469. Just landed.
669,positive,@AmericanAir thank you for the assistance
5166,neutral,@JetBlue and The from @WSJ Team to Offer In-#Flight Access to Journal ... - Nassau News Live http://t.co/7E5bxwG16t
484,positive,@SouthwestAir It was the usually excellent SWA flight!
3038,negative,@JetBlue we were supposed to be Vieques by 3pm
2650,negative,@united I know where to check. My complaint is my ticket said dinner when I booked now it's changed to refreshments. Where's my refund?
6028,neutral,"@JetBlue since high likelihood of snow at time of flight tomorrow, any chance I can rebook for Sunday?"
5216,neutral,“@JetBlue: Our fleet's on fleek. http://t.co/Q16Xvwg0L6” .... I have to refrain what I want to say
2241,positive,"@americanair Greatest Newark Gate Agents ever: David Deane, Norma Sedholm and Luz Calderon just made me feel like a king. #AmericanAirlines"
4155,negative,@SouthwestAir want to explain why I was on hold for 2+ hrs tonight trying to reach customer service only to learn they're only there Mon-Fr?
1579,positive,@SouthwestAir   Thanks
7012,neutral,@united The link in the message I was replying to. #3thparty #ITproblems
4092,negative,"@united nope. Called, lost the seating preference I paid for, and here I still sit. We'll see what happens w/ my flight Late Flightr."
96,positive,@SouthwestAir Fantastic! Thank you!
986,positive,"@USAirways getting sorted, thanks"
6884,neutral,@united Thanks. Got it straightend out last night.
5303,neutral,@americanair Yes to the iOS. I'm running iOS 8.1.3
5870,neutral,@USAirways Mobile boarding pass email.
5025,neutral,@AmericanAir yes. No one is answering and I'm on a train
1247,positive,@SouthwestAir got it squared away. Thank you. I had a man on the inside help me out!
3877,negative,@JetBlue flight 691 from bos to Tampa takeoff 40 min Late Flight
5789,neutral,"@VirginAmerica I applied for a position in @flyLAXairport ,and I was wondering if you guys received my application."
6945,neutral,@USAirways thanks is there a beareavement discount anymore or not should I just book online
2815,negative,@USAirways @AmericanAir hey since you    f*%#ed my wknd can I have day pass to admirals club or meal coupon or free coke? {blank stare}
5882,neutral,@JetBlue OK cool.  I need to listen to some Dre and Snoop en route to LA.  That would have been a shame.
204,positive,@SouthwestAir Deborah helped me💁
2729,negative,"@SouthwestAir I can. Doesn't it seem fair that if our bags need to fit under our seats, we should need to fit in them?"
4665,negative,@united called back and I've been on hold. What is the issue?! I have a confirmation number and an email that shows how much I've paid
2699,negative,@united thanks finally made it.. Missed meetings but what can I do now?
3836,negative,@AmericanAir record locator oaaret got email we couldn't be rebooked but got no notification flight was Cancelled Flightled
1158,positive,@jetblue thanks
4667,negative,@USAirways understood. It simply feels as if the staff is not being entirely truthful about the situation.
587,positive,@USAirways thank you! I will be calling you! #CheapOairChat
3910,negative,"@USAirways tell them to get on that, please."
1792,positive,@JetBlue thanks!!
1064,positive,"@AmericanAir great, thanks!"
1134,positive,"@VirginAmerica love you guys, but pls get some direct routes LAS to AUS!"
4112,negative,@JetBlue  I did.  They have no idea where it is.
2717,negative,"@United fucked up, then voided my ticket, and KEPT MY MONEY.  Not even an apology. I will never fly with your airline again. #UnitedAirlines"
1975,positive,@AmericanAir thank you we got on a different flight to Chicago.
705,positive,"@united Flew ORD to Miami and back and  had great crew, service on both legs. THANKS"
2953,negative,@SouthwestAir Yes but they couldn't explain the 2 hour and 45 minute hold time.
3641,negative,@USAirways so I guess you are ok with people being sexually assaulted on your flights nice customer service
3049,negative,"@SouthwestAir I appreciate the response, but the constant changing of the flight time is frustrating to say the least. #toughtomakeplans"
2483,negative,@JetBlue How is it possible the only way to contact your fraud department is mailing a physical letter? No telephone? No email? REALLY??
6641,neutral,"@SouthwestAir my flight at BWI is delayed and I will miss my flight in Denver, is there a way to find out if they will hold the plane?"
2195,positive,"@JetBlue you are officially my favorite, thank you for the wonderful service at JFK"
2469,negative,@SouthwestAir is awful. They have lost my bag and aren't providing any info. This is day 3 and nothing. #WORSTAIRLINEEVER
6749,neutral,@SouthwestAir 3rd time flying southwest in two years. Have another trip back to mx on October.
6009,neutral,@JetBlue did you know that suicide is the second leading cause of death among teens 10-24
1736,positive,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday
5655,neutral,@united have all 747-400s been updated with power outlets and seat-back TVs yet? Flying ORD to Tokyo-Narita on the 28th
917,positive,@SouthwestAir I continue to be amazed by the amazing customer service.  Thank you SWA!
3980,negative,@SouthwestAir why the delay on Flight 423 BDL to MCO? Need to get to Florida for the ☀️&amp; races in Daytona
6555,neutral,@SouthwestAir Thanks I get that. It looks like all BWI-SJD services stops after Aug 7. Is that the case? I cant find one date with flights.
4830,neutral,"@united yes, after this awful weather it appears I can get home"
3162,negative,"@USAirways She spoke with someone this AM and was told that breast pumps aren't medical equipment and that she should have ""planned better."""
1803,positive,@JetBlue thanks for getting me to Orlando early #happiness
6227,neutral,@USAirways any chance of making #561?
4949,neutral,@JetBlue yes slc on 4/19
327,positive,@VirginAmerica Thank you for the follow
4166,negative,@SouthwestAir there's an hour wait here for reFlight Booking Problems in line at Omaha.
2576,negative,@SouthwestAir @ LAX is almost a mess. For some reason the express bag drop is slower than the full service line. http://t.co/ORY89eEGek
4608,negative,@USAirways will these prices be honored? Ive waited this 1 1/2 hours on hold to make sure I can still get the prices I originally started
1758,positive,@VirginAmerica got it squared away. Someone picked up as soon as I tweeted. Should have tweeted sooner. 😉
2411,negative,@SouthwestAir how long does it take for points from RR Shopping to post to my account? Got email saying I've earned points but don't see em
3557,negative,"@united it was UA381 on 14 Feb. Point is, overselling flights= bad. Making people wait 1hr while you kick them off after boarding is worse"
4572,negative,@united UA5396 can wait for me. I'm on the ground trying to get to the gate after we were moved to B. This is crap.
2290,positive,"@AmericanAir yes yes yes,so glad to be headed home!"
4310,negative,@AmericanAir Yes I am. 2495/1170. RNO departure at 1229 on 2/25 w/connection at DFW to LGA. I can do the 1120am to LAX and then to JFK
4254,negative,@united no because you will charge me or delay me further. United 1612 still waiting.
5559,neutral,@JetBlue what is the Mosiac 800 #?
2581,negative,@AmericanAir nah u boofin u dont talk like any humans i know. Respond like u actually have a brain. And again i dont want customer relations
6849,neutral,"@USAirways if my flight, 4035, is delayed, what time do I have to arrive at BHM?"
4178,negative,"@united 3 hrs searching for flts, find 1 on site &amp; can't book the $ offered bc 1 seg isn't really available. #lies #falseadvertising"
4340,negative,"@JetBlue our #FoodAllergy community. IF you want our continued loyalty, you need to do better than that. Perhaps some training is in (2/3)"
218,positive,Great management of @USAirways twitter account. Thank you.
66,positive,@AmericanAir thanks to Marie for reFlight Booking Problems me and my friends!!! I'm Cali bound thanks to this sweet angel! #blessed
2440,negative,"@USAirways I can't even use my return flight home because the change fees you charge are too expensive, forcing me to purchase a new ticket."
4602,negative,"@united Currently on UA862, 20 minutes of the worst turbulence I've ever experienced, and ZERO communication from the flight deck."
3591,negative,@united I will be patient in my luxurious middle seat on my next delayed flight
2943,negative,@USAirways Not happy with start of trip!  Cancelled Flightled flight #poor customerservice
5042,neutral,@united and learn how to book flights. http://t.co/MHHS9RUpLv
5966,neutral,@VirginAmerica Grand Budapest Hotel #OscarsCountdown
2320,positive,@USAirways Marsha M. at Myrtle Beach is the greatest! She deserves all the respect and praise there is! #ThankYouForEverything
5678,neutral,@SouthwestAir go @franks105 go!
3930,negative,"@USAirways Congrats, you've just lost a customer for good. When I made a United weather change, free/5 min. You guys 2 hrs on hold &amp; $25."
1639,positive,@AmericanAir I Love American Airlines :D
3210,negative,@united its not the way to treat your customers we had a lot of issues and it was not worth our headache we went thru
6540,neutral,@southwestair has posted flight schedule covering the date range of @_defcon_ 23
6954,neutral,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.
560,positive,"@united cool, thanks."
